,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g[642215],0.033,0.169,-0.293,0.342,0.001,0.002,18527.0,5719.0,1.0
g[669364],0.0,0.152,-0.283,0.287,0.001,0.002,16491.0,5742.0,1.0
g[547180],0.242,0.111,0.033,0.45,0.001,0.001,12600.0,5723.0,1.0
g[595909],0.037,0.166,-0.288,0.34,0.001,0.002,18278.0,5601.0,1.0
g[624503],0.012,0.169,-0.297,0.332,0.001,0.002,17565.0,5307.0,1.0
g[458015],0.001,0.163,-0.292,0.315,0.001,0.002,16314.0,5330.0,1.0
g[678554],-0.025,0.159,-0.33,0.266,0.001,0.002,19732.0,5458.0,1.0
g[608703],-0.053,0.17,-0.385,0.251,0.001,0.002,17525.0,5137.0,1.0
g[664029],0.088,0.168,-0.218,0.416,0.001,0.002,18346.0,5084.0,1.0
g[691783],-0.006,0.173,-0.328,0.325,0.001,0.002,19146.0,5565.0,1.0
g[605137],0.139,0.135,-0.115,0.396,0.001,0.002,16765.0,5360.0,1.0
g[694384],0.097,0.139,-0.159,0.365,0.001,0.002,16452.0,5281.0,1.0
g[678882],-0.072,0.155,-0.367,0.22,0.001,0.002,19432.0,5662.0,1.0
g[623205],0.061,0.167,-0.253,0.378,0.001,0.002,21341.0,5272.0,1.0
g[682073],-0.007,0.169,-0.318,0.311,0.001,0.002,18665.0,6036.0,1.0
g[542583],-0.066,0.162,-0.363,0.248,0.001,0.002,17693.0,6085.0,1.0
g[687401],0.076,0.123,-0.148,0.312,0.001,0.002,19483.0,5493.0,1.0
g[665839],0.03,0.155,-0.266,0.316,0.001,0.002,20583.0,5847.0,1.0
g[663550],0.001,0.171,-0.318,0.328,0.001,0.002,17456.0,5742.0,1.0
g[663845],-0.015,0.156,-0.308,0.274,0.001,0.002,19041.0,5172.0,1.0
g[677595],-0.026,0.171,-0.369,0.283,0.001,0.003,20068.0,5329.0,1.0
g[691016],0.081,0.153,-0.198,0.374,0.001,0.002,16062.0,5296.0,1.0
g[676070],-0.014,0.167,-0.344,0.282,0.001,0.002,21835.0,5619.0,1.0
g[676914],0.031,0.168,-0.277,0.354,0.001,0.002,17973.0,5619.0,1.0
g[656821],0.027,0.17,-0.312,0.335,0.001,0.002,18634.0,4848.0,1.0
g[666197],0.05,0.171,-0.276,0.372,0.001,0.002,19166.0,5666.0,1.0
g[622666],0.005,0.174,-0.324,0.335,0.001,0.002,19217.0,5562.0,1.0
g[572761],0.026,0.171,-0.305,0.331,0.001,0.002,20326.0,5470.0,1.0
g[572008],-0.021,0.175,-0.35,0.306,0.001,0.003,18825.0,5481.0,1.0
g[676632],-0.047,0.165,-0.367,0.259,0.001,0.002,18567.0,4885.0,1.0
g[673237],0.065,0.168,-0.245,0.379,0.001,0.002,17447.0,6022.0,1.0
g[683021],-0.042,0.164,-0.346,0.265,0.001,0.002,17954.0,5413.0,1.0
g[668952],-0.131,0.164,-0.442,0.173,0.001,0.002,15070.0,5714.0,1.0
g[641525],0.046,0.17,-0.268,0.363,0.001,0.002,20210.0,5615.0,1.0
g[596847],-0.026,0.169,-0.345,0.286,0.001,0.002,18910.0,5512.0,1.0
g[669911],0.021,0.144,-0.255,0.292,0.001,0.002,16380.0,5659.0,1.0
g[666135],-0.052,0.161,-0.357,0.244,0.001,0.002,17301.0,5511.0,1.0
g[656371],-0.011,0.168,-0.34,0.295,0.001,0.002,14618.0,5608.0,1.0
g[592192],0.008,0.152,-0.271,0.304,0.001,0.002,19029.0,5701.0,1.0
g[679631],-0.038,0.171,-0.353,0.291,0.001,0.002,16663.0,5451.0,1.0
g[578570],0.067,0.167,-0.246,0.384,0.001,0.003,18283.0,5038.0,1.0
g[666149],0.026,0.159,-0.27,0.33,0.001,0.002,20920.0,5467.0,1.0
g[656403],-0.002,0.175,-0.332,0.323,0.001,0.002,19691.0,5344.0,1.0
g[664059],0.013,0.167,-0.291,0.341,0.001,0.002,18025.0,5470.0,1.0
g[691406],-0.08,0.158,-0.382,0.214,0.001,0.002,17935.0,5345.0,1.0
g[660634],-0.051,0.168,-0.368,0.267,0.001,0.002,19047.0,5550.0,1.0
g[647351],0.052,0.131,-0.188,0.304,0.001,0.002,17853.0,5425.0,1.0
g[657136],0.021,0.169,-0.289,0.35,0.001,0.002,20108.0,5514.0,1.0
g[676761],0.042,0.169,-0.273,0.364,0.001,0.002,19279.0,5265.0,1.0
g[669023],-0.013,0.169,-0.338,0.297,0.001,0.002,17888.0,5709.0,1.0
g[623507],0.025,0.171,-0.306,0.34,0.001,0.002,19484.0,5867.0,1.0
g[656484],0.009,0.165,-0.292,0.33,0.001,0.002,22785.0,5200.0,1.0
g[543877],-0.055,0.17,-0.395,0.254,0.001,0.003,17956.0,4699.0,1.0
g[613564],-0.058,0.171,-0.367,0.276,0.001,0.002,18309.0,5062.0,1.0
g[669392],0.0,0.166,-0.321,0.304,0.001,0.002,19258.0,5416.0,1.0
g[656976],0.002,0.168,-0.308,0.323,0.001,0.002,20709.0,5079.0,1.0
g[543333],-0.033,0.169,-0.351,0.293,0.001,0.002,17690.0,5089.0,1.0
g[543482],0.0,0.172,-0.335,0.314,0.001,0.002,17522.0,5901.0,1.0
g[645801],-0.011,0.166,-0.326,0.301,0.001,0.002,19769.0,5143.0,1.0
g[663609],0.015,0.171,-0.318,0.325,0.001,0.002,20041.0,5457.0,1.0
g[592669],-0.015,0.168,-0.335,0.299,0.001,0.002,18141.0,5670.0,1.0
g[681807],-0.101,0.167,-0.415,0.214,0.001,0.002,20820.0,5238.0,1.0
g[669200],-0.098,0.171,-0.406,0.238,0.001,0.002,16187.0,5599.0,1.0
g[681962],0.052,0.169,-0.248,0.382,0.001,0.002,17106.0,5165.0,1.0
g[680700],-0.006,0.165,-0.314,0.306,0.001,0.002,17610.0,5188.0,1.0
g[518792],-0.007,0.173,-0.328,0.32,0.001,0.002,19194.0,4999.0,1.0
g[670869],0.002,0.172,-0.325,0.317,0.001,0.002,18376.0,5382.0,1.0
g[680716],-0.021,0.17,-0.336,0.295,0.001,0.002,18859.0,5731.0,1.0
g[682848],0.0,0.174,-0.337,0.324,0.001,0.002,19961.0,4879.0,1.0
g[642136],0.024,0.169,-0.295,0.337,0.001,0.002,17696.0,5396.0,1.0
g[677347],0.001,0.169,-0.316,0.318,0.001,0.002,19393.0,6001.0,1.0
g[623993],0.017,0.173,-0.304,0.341,0.001,0.002,16764.0,5892.0,1.0
g[518735],-0.003,0.174,-0.339,0.312,0.001,0.002,19336.0,5262.0,1.0
g[592178],0.017,0.166,-0.294,0.335,0.001,0.002,18938.0,6073.0,1.0
g[663886],-0.01,0.168,-0.341,0.295,0.001,0.002,17253.0,5130.0,1.0
g[687462],-0.072,0.169,-0.386,0.244,0.001,0.002,20259.0,4191.0,1.0
g[696100],-0.036,0.169,-0.37,0.268,0.001,0.002,20312.0,5995.0,1.0
g[671083],-0.014,0.167,-0.319,0.304,0.001,0.002,23050.0,5625.0,1.0
g[501303],0.005,0.169,-0.312,0.325,0.001,0.002,20140.0,5686.0,1.0
g[666158],0.048,0.154,-0.245,0.333,0.001,0.002,18879.0,5456.0,1.0
g[672012],0.064,0.171,-0.256,0.387,0.001,0.002,18685.0,5212.0,1.0
g[578428],-0.069,0.144,-0.329,0.215,0.001,0.002,18529.0,5198.0,1.0
