,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Hamilton, Billy]",-0.786,0.192,-1.146,-0.43,0.002,0.002,14070.0,5900.0,1.0
"alpha[Grichuk, Randal]",-1.218,0.147,-1.492,-0.945,0.001,0.002,10739.0,6327.0,1.0
"alpha[Zimmer, Bradley]",-0.709,0.164,-1.021,-0.405,0.002,0.002,11470.0,5312.0,1.0
"alpha[Gordon, Nick]",-1.102,0.163,-1.41,-0.8,0.001,0.002,11999.0,6171.0,1.0
"alpha[Dyson, Jarrod]",-0.804,0.189,-1.171,-0.46,0.002,0.002,15172.0,5724.0,1.0
"alpha[Florial, Estevan]",-0.878,0.177,-1.225,-0.559,0.001,0.002,15329.0,5416.0,1.0
"alpha[Dickerson, Corey]",-0.898,0.207,-1.294,-0.512,0.002,0.003,14042.0,6149.0,1.0
"alpha[García, Leury]",-0.901,0.189,-1.263,-0.554,0.002,0.002,13448.0,5501.0,1.0
"alpha[Judge, Aaron]",-0.944,0.125,-1.19,-0.719,0.001,0.001,12671.0,6337.0,1.0
"alpha[Hill, Derek]",-0.938,0.146,-1.215,-0.671,0.001,0.002,12095.0,6257.0,1.0
"alpha[Akiyama, Shogo]",-0.985,0.183,-1.342,-0.649,0.001,0.002,17004.0,5719.0,1.0
"alpha[Hays, Austin]",-0.898,0.199,-1.261,-0.516,0.002,0.002,14787.0,6098.0,1.0
"alpha[Pillar, Kevin]",-1.026,0.16,-1.321,-0.715,0.001,0.002,15216.0,5354.0,1.0
"alpha[Winker, Jesse]",-0.905,0.212,-1.31,-0.516,0.002,0.003,14380.0,5640.0,1.0
"alpha[Brinson, Lewis]",-1.157,0.194,-1.521,-0.794,0.002,0.002,11470.0,5359.0,1.0
"alpha[Happ, Ian]",-0.88,0.174,-1.207,-0.56,0.002,0.002,11948.0,5534.0,1.0
"alpha[Marte, Ketel]",-1.073,0.159,-1.362,-0.769,0.001,0.002,13013.0,6167.0,1.0
"alpha[Aquino, Aristides]",-0.883,0.205,-1.267,-0.509,0.002,0.002,13804.0,6055.0,1.0
"alpha[Almora Jr., Albert]",-0.882,0.183,-1.237,-0.547,0.002,0.002,13643.0,5501.0,1.0
"alpha[Naquin, Tyler]",-1.081,0.167,-1.397,-0.768,0.002,0.002,12283.0,5886.0,1.0
"alpha[Cave, Jake]",-1.039,0.188,-1.382,-0.678,0.002,0.002,12538.0,6032.0,1.0
"alpha[Wade, Tyler]",-0.923,0.209,-1.324,-0.536,0.002,0.003,13156.0,5837.0,1.0
"alpha[Dubón, Mauricio]",-0.742,0.156,-1.029,-0.446,0.001,0.002,12695.0,5583.0,1.0
"alpha[Tucker, Cole]",-0.976,0.208,-1.359,-0.58,0.002,0.003,12766.0,5479.0,1.0
"alpha[Hermosillo, Michael]",-0.896,0.189,-1.257,-0.549,0.001,0.002,17476.0,5710.0,1.0
"alpha[Santana, Danny]",-0.93,0.199,-1.291,-0.547,0.002,0.003,13421.0,5580.0,1.0
"alpha[Duran, Jarren]",-1.102,0.125,-1.335,-0.869,0.001,0.001,11702.0,6103.0,1.0
"alpha[Bonifacio, Jorge]",-0.931,0.213,-1.313,-0.524,0.002,0.003,15053.0,5815.0,1.0
"alpha[Robles, Victor]",-0.95,0.117,-1.165,-0.729,0.001,0.001,10263.0,6520.0,1.0
"alpha[Palacios, Joshua]",-0.952,0.205,-1.331,-0.562,0.002,0.003,14546.0,5620.0,1.0
"alpha[Williams, Luke]",-0.873,0.204,-1.269,-0.505,0.002,0.003,15114.0,5663.0,1.0
"alpha[Goodwin, Brian]",-0.99,0.193,-1.367,-0.642,0.002,0.002,13365.0,5542.0,1.0
"alpha[Fraley, Jake]",-0.976,0.193,-1.345,-0.624,0.002,0.002,13756.0,5671.0,1.0
"alpha[Refsnyder, Rob]",-0.915,0.174,-1.24,-0.589,0.001,0.002,14307.0,5422.0,1.0
"alpha[Davis, Jonathan]",-0.831,0.162,-1.134,-0.525,0.001,0.002,13558.0,6653.0,1.0
"alpha[Moniak, Mickey]",-0.814,0.142,-1.082,-0.552,0.001,0.002,9382.0,5883.0,1.0
"alpha[Martin, Jason]",-0.879,0.212,-1.269,-0.472,0.002,0.003,15267.0,5768.0,1.0
"alpha[Park, Hoy]",-0.908,0.215,-1.309,-0.504,0.002,0.003,13025.0,5702.0,1.0
"alpha[García, Adolis]",-0.879,0.136,-1.133,-0.627,0.001,0.002,13775.0,5939.0,1.0
"alpha[Goodrum, Niko]",-0.961,0.21,-1.356,-0.554,0.002,0.003,16158.0,5989.0,1.0
"alpha[Smith, Pavin]",-0.938,0.188,-1.286,-0.585,0.002,0.003,12555.0,5381.0,1.0
"alpha[Marisnick, Jake]",-0.824,0.168,-1.148,-0.511,0.001,0.002,14111.0,6060.0,1.0
"alpha[Kepler, Max]",-0.957,0.194,-1.318,-0.589,0.002,0.003,12994.0,5696.0,1.0
"alpha[White, Eli]",-0.803,0.178,-1.128,-0.469,0.002,0.002,13108.0,5986.0,1.0
"alpha[Allen, Greg]",-1.012,0.2,-1.401,-0.653,0.002,0.003,13297.0,5785.0,1.0
"alpha[Tapia, Raimel]",-0.878,0.18,-1.21,-0.532,0.001,0.002,17588.0,5942.0,1.0
"alpha[Profar, Jurickson]",-0.937,0.201,-1.34,-0.572,0.002,0.003,14348.0,5504.0,1.0
"alpha[Laureano, Ramón]",-1.035,0.143,-1.316,-0.777,0.001,0.002,11717.0,5909.0,1.0
"alpha[Pollock, AJ]",-0.817,0.183,-1.177,-0.485,0.002,0.002,14439.0,6282.0,1.0
"alpha[Oliva, Jared]",-0.883,0.216,-1.282,-0.473,0.002,0.003,14442.0,5694.0,1.0
"alpha[Mercado, Óscar]",-0.949,0.2,-1.327,-0.58,0.002,0.002,11468.0,6034.0,1.0
"alpha[Celestino, Gilberto]",-0.902,0.155,-1.193,-0.613,0.001,0.002,12445.0,5935.0,1.0
"alpha[Tauchman, Mike]",-0.92,0.159,-1.217,-0.625,0.001,0.002,13502.0,5788.0,1.0
"alpha[Harrison, Monte]",-0.911,0.207,-1.309,-0.53,0.002,0.003,16111.0,5833.0,1.0
"alpha[Reddick, Josh]",-0.872,0.208,-1.257,-0.475,0.002,0.003,14939.0,5795.0,1.0
"alpha[Fairchild, Stuart]",-0.798,0.163,-1.092,-0.478,0.001,0.002,13402.0,6011.0,1.0
"alpha[Bruján, Vidal]",-0.934,0.205,-1.32,-0.55,0.002,0.003,12510.0,5771.0,1.0
"alpha[Freeman, Mike]",-0.901,0.212,-1.313,-0.508,0.002,0.003,14657.0,5409.0,1.0
"alpha[O'Grady, Brian]",-0.903,0.212,-1.285,-0.489,0.002,0.003,13258.0,5877.0,1.0
"alpha[Parra, Gerardo]",-0.898,0.205,-1.294,-0.521,0.002,0.003,13808.0,5767.0,1.0
"alpha[Inciarte, Ender]",-0.877,0.191,-1.256,-0.528,0.002,0.002,15158.0,6013.0,1.0
"alpha[Trammell, Taylor]",-0.912,0.179,-1.247,-0.574,0.002,0.002,12530.0,5966.0,1.0
"alpha[Locastro, Tim]",-1.013,0.195,-1.413,-0.667,0.002,0.002,14105.0,5631.0,1.0
"alpha[Heath, Nick]",-0.833,0.204,-1.226,-0.455,0.002,0.003,15571.0,5455.0,1.0
"alpha[Heineman, Scott]",-0.885,0.216,-1.3,-0.483,0.002,0.003,14625.0,5147.0,1.0
"alpha[Ramírez, Harold]",-1.061,0.197,-1.422,-0.689,0.002,0.003,12886.0,6054.0,1.0
"alpha[Canha, Mark]",-0.966,0.196,-1.341,-0.604,0.002,0.003,15044.0,5926.0,1.0
"alpha[Williams, Mason]",-0.887,0.207,-1.288,-0.508,0.002,0.003,15142.0,5322.0,1.0
"alpha[García, Avisaíl]",-0.907,0.208,-1.307,-0.527,0.002,0.003,13761.0,5858.0,1.0
"alpha[Mateo, Jorge]",-0.928,0.205,-1.303,-0.537,0.002,0.003,14841.0,6074.0,1.0
"alpha[Thomas, Dillon]",-0.894,0.212,-1.307,-0.512,0.002,0.003,16319.0,5566.0,1.0
"alpha[Garlick, Kyle]",-0.945,0.209,-1.345,-0.553,0.002,0.003,14809.0,5900.0,1.0
"alpha[Lewis, Kyle]",-0.836,0.187,-1.18,-0.487,0.002,0.002,14943.0,5609.0,1.0
"alpha[Maybin, Cameron]",-0.934,0.213,-1.337,-0.54,0.002,0.003,15016.0,5440.0,1.0
"alpha[Harrison, Josh]",-0.902,0.216,-1.297,-0.485,0.002,0.003,13955.0,5329.0,1.0
"alpha[Luplow, Jordan]",-0.948,0.202,-1.318,-0.558,0.002,0.003,17022.0,5593.0,1.0
