batter,n_gb,n_restarts,ref_exp_outs,cand_exp_outs,shortfall,pos_gap_ft
666023,226,16,0.7624180571443242,0.762418056629021,5.153032445193162e-10,0.0053715954861357895
666023,226,12,0.7624180571443242,0.7624180568617157,2.826084921636607e-10,0.004783481224912719
666023,226,10,0.7624180571443242,0.7624180571342576,1.006661420888122e-11,0.00037994552278668354
666023,226,8,0.7624180571443242,0.7624180213750379,3.5769286310660675e-08,0.024453752693461454
663743,251,20,0.7574871466540936,0.757423908621376,6.323803271757189e-05,4.805517493269986
663743,251,16,0.7574871466540936,0.7574685757497729,1.8570904320669435e-05,2.067730067762107
663743,251,12,0.7574871466540936,0.75746857806946,1.856858463356037e-05,2.064810262852672
663743,251,10,0.7574871466540936,0.7574685795829361,1.8567071157438164e-05,2.0622899842770144
663743,251,8,0.7574871466540936,0.7574685795888086,1.8567065284913475e-05,2.062223397177204
681481,226,20,0.7696507390190136,0.7693139939514365,0.0003367450675770822,10.589003108635742
681481,226,16,0.7696507390190136,0.7692782448279837,0.0003724941910299151,13.086117463646854
681481,226,12,0.7696507390190136,0.7692783826494579,0.00037235636955568197,13.83246622304951
681481,226,10,0.7696507390190136,0.7696605239187446,-9.784899731024588e-06,1.2364771473326064
681481,226,8,0.7696507390190136,0.7692427358003991,0.00040800321861445,12.520964970588409
668800,120,20,0.7822542508554684,0.7822542508318931,2.357525286100781e-11,0.0008579734721562383
668800,120,16,0.7822542508554684,0.7822542502400099,6.154584619721959e-10,0.002243442143067135
668800,120,12,0.7822542508554684,0.7822542500572989,7.981695304692948e-10,0.004112070446419195
668800,120,10,0.7822542508554684,0.7822542508548068,6.615819003741308e-13,0.00012049834087938883
668800,120,8,0.7822542508554684,0.7822542507987676,5.670075520214368e-11,0.0012124528517225644
595978,114,20,0.845684198923238,0.8456841887059982,1.0217239831966651e-08,0.017763816446885974
595978,114,16,0.845684198923238,0.8456841893677403,9.555497726410067e-09,0.017956317323953936
595978,114,12,0.845684198923238,0.8443459894678428,0.0013382094553952006,10.201478536077587
595978,114,10,0.845684198923238,0.8456828020278765,1.3968953614940105e-06,0.13861306112982327
595978,114,8,0.845684198923238,0.8456841955018373,3.421400718295331e-09,0.013395601632854592
624431,166,20,0.8260295968792122,0.8260295960734785,8.05733701980671e-10,0.006065836887855631
624431,166,16,0.8260295968792122,0.8260295967195208,1.5969137123761357e-10,0.00648157422825922
624431,166,12,0.8260295968792122,0.8260295928637927,4.0154194413943856e-09,0.0056684161829389885
624431,166,10,0.8260295968792122,0.8260295978444443,-9.652321164566047e-10,0.002642967713312739
624431,166,8,0.8260295968792122,0.8260295974190267,-5.398145264123855e-10,0.0015092045705635008
682829,336,20,0.7554655221997215,0.7553500720783611,0.00011545012136038313,9.104940994507507
682829,336,16,0.7554655221997215,0.7553588910835053,0.000106631116216227,7.259750161956376
682829,336,12,0.7554655221997215,0.7556543656016207,-0.0001888434018991747,0.9736019210178536
682829,336,10,0.7554655221997215,0.7549685297590435,0.0004969924406780235,14.451610287917932
682829,336,8,0.7554655221997215,0.754925606118651,0.0005399160810705128,3.6142564682241765
