,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Court, Ryan]",-2.406,0.451,-3.25,-1.548,0.003,0.006,16685.0,5389.0,1.0
"alpha[Drury, Brandon]",-2.115,0.38,-2.821,-1.41,0.003,0.005,18051.0,6407.0,1.0
"alpha[Happ, Ian]",-2.089,0.185,-2.447,-1.744,0.002,0.002,13585.0,6429.0,1.0
"alpha[Mercado, Óscar]",-1.749,0.19,-2.111,-1.397,0.002,0.002,13722.0,6361.0,1.0
"alpha[Pederson, Joc]",-2.511,0.204,-2.907,-2.146,0.002,0.002,12926.0,6247.0,1.0
"alpha[Naquin, Tyler]",-2.458,0.197,-2.837,-2.095,0.002,0.002,14370.0,6345.0,1.0
"alpha[Martinez, J.D.]",-2.733,0.308,-3.296,-2.134,0.003,0.004,14840.0,6106.0,1.0
"alpha[Lorenzen, Michael]",-1.804,0.376,-2.5,-1.111,0.003,0.004,17206.0,6187.0,1.0
"alpha[Peterson, Jace]",-2.682,0.32,-3.303,-2.1,0.003,0.004,14222.0,6020.0,1.0
"alpha[Peralta, David]",-2.693,0.191,-3.05,-2.331,0.002,0.002,12567.0,6665.0,1.0
"alpha[Muñoz, Yairo]",-2.539,0.351,-3.19,-1.882,0.003,0.004,15996.0,6658.0,1.0
"alpha[Dyson, Jarrod]",-2.094,0.206,-2.482,-1.712,0.002,0.002,12318.0,6162.0,1.0
"alpha[Avelino, Abiatal]",-2.17,0.527,-3.175,-1.21,0.004,0.007,17987.0,5488.0,1.0
"alpha[Brosseau, Mike]",-2.413,0.469,-3.333,-1.566,0.003,0.006,18306.0,5486.0,1.0
"alpha[Daza, Yonathan]",-1.929,0.196,-2.278,-1.55,0.002,0.002,12427.0,6242.0,1.0
"alpha[Mejía, Francisco]",-2.148,0.527,-3.11,-1.137,0.004,0.007,19893.0,5247.0,1.0
"alpha[Garlick, Kyle]",-2.738,0.308,-3.343,-2.175,0.002,0.004,15759.0,5711.0,1.0
"alpha[Choo, Shin-Soo]",-2.729,0.284,-3.27,-2.207,0.002,0.003,13489.0,5919.0,1.0
"alpha[Rosario, Amed]",-1.745,0.408,-2.546,-0.999,0.003,0.005,17490.0,5374.0,1.0
"alpha[Altherr, Aaron]",-2.224,0.399,-2.967,-1.479,0.003,0.005,15152.0,6174.0,1.0
"alpha[Acuña Jr., Ronald]",-1.999,0.179,-2.318,-1.657,0.002,0.002,13737.0,6661.0,1.0
"alpha[Winker, Jesse]",-2.648,0.202,-3.021,-2.267,0.002,0.002,13172.0,6721.0,1.0
"alpha[Culberson, Charlie]",-2.49,0.369,-3.196,-1.813,0.003,0.005,15741.0,6290.0,1.0
"alpha[Negrón, Kristopher]",-2.317,0.406,-3.102,-1.604,0.003,0.005,15772.0,6349.0,1.0
"alpha[Castro, Harold]",-2.139,0.296,-2.677,-1.571,0.002,0.003,14703.0,6646.0,1.0
